titres,adresses,liens,categorie,type,lon,lat
Collège Molière,"31 avenue du Château, 69003 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-moliere,colleges-publics,enseignement,4.8849,45.7491
Collège Notre Dame de Bellecombe,"31 rue Germain, 69006 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-notre-dame-de-bellecombe,colleges-prives,enseignement,4.8666,45.7653
Collège Notre Dame des Minimes,"65 rue des Aqueducs, 69005 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-notre-dame-des-minimes,colleges-prives,enseignement,4.7894,45.7588
Collège Pierre Termier,"23 rue des Alouettes, 69008 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-pierre-termier,colleges-prives,enseignement,4.8732,45.7417
Collège Professeur Dargent,"5 rue Jeanne Koehler, 69003 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-professeur-dargent,colleges-publics,enseignement,4.8703,45.7468
Collège Raoul Dufy,"74 bis rue Mazenod, 69003 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-raoul-dufy,colleges-publics,enseignement,4.8475,45.7584
Collège Les Chartreux - Saint Charles,"22 rue André Bonin, 69004 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-les-chartreux-saint-charles,colleges-prives,enseignement,4.8125,45.7762
Collège des Maristes - Sainte Marie,"4 Montée Saint Barthélémy, 69005 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-des-maristes-sainte-marie,colleges-prives,enseignement,4.826,45.7655
Collège Saint Marc,"11 rue Soeur Bouvier, 69005 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-saint-marc,colleges-prives,enseignement,4.8123,45.7521
Collège Saint Exupéry,"82 rue Hénon, 69004 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-saint-exupery,colleges-publics,enseignement,4.822,45.7799
Collège Saint Louis de la Guillotière,"10 rue du Beguin, 69007 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-saint-louis-de-la-guillotiere,colleges-prives,enseignement,4.8489,45.7486
Collège Saint-Bruno/Saint-Louis,"1 Cours Général Giraud, 69001 Lyon",https://www.lyon.fr/lieu/colleges-prives/college-saint-brunosaint-louis,colleges-prives,enseignement,4.817,45.7709
Collège Vendôme,"69 rue Vendôme, 69006 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-vendome,colleges-publics,enseignement,4.8448,45.7706
Collège Victor Grignard,"177 avenue Paul Santy, 69008 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-victor-grignard,colleges-publics,enseignement,4.88,45.7249
Collège Victor Schoelcher,"272 rue Victor Schoelcher, 69009 Lyon",https://www.lyon.fr/lieu/colleges-publics/college-victor-schoelcher,colleges-publics,enseignement,4.7966,45.7892
Ecole maternelle Combe Blanche,"57 rue Saint Maurice, 69008 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-combe-blanche,ecoles-maternelles-publiques,enseignement,4.8662,45.739
Ecole élémentaire Combe-Blanche,"4 rue Paul Cazeneuve, 69008 Lyon",https://www.lyon.fr/lieu/ecoles-elementaires-publiques/ecole-elementaire-combe-blanche,ecoles-elementaires-publiques,enseignement,4.8659,45.7385
Ecole maternelle Condorcet,"37 rue Jules Massenet, 69003 Lyon",https://www.lyon.fr/lieu/ecoles-maternelles-publiques/ecole-maternelle-condorcet,ecoles-maternelles-publiques,enseignement,4.8923,45.7483
